[2018-07-09 18:06:26,833][DEBUG][thread:16] ListLanguage() method invoked in :159ms 2 requestId:0HLF5LL0F5BOB:0000000E [Core.Framework.Middleware.LogMiddleware.?]
[2018-07-09 18:06:43,185][DEBUG][thread:16] User: 2 URL=/api/device/listtemplate [DeviceManager.API.CoreMiddleware.?]
[2018-07-09 18:06:43,200][DEBUG][thread:16] ListTemplate() method invoked in :11ms 2 requestId:0HLF5LL0F5BOB:00000010 [Core.Framework.Middleware.LogMiddleware.?]
[2018-07-09 18:06:43,996][DEBUG][thread:16] User: 2 URL=/api/system/listlanguage [DeviceManager.API.CoreMiddleware.?]
[2018-07-10 23:49:41,905][DEBUG][thread:1] Log4Net Configuration loaded:/Users/atilla/WS/github/IP-Man/src/.vhs/devicemanager/logging.development.config [Core.Framework.Middleware.LogMiddleware.?]
[2018-07-10 23:49:41,950][DEBUG][thread:1] Loading settings... [Core.Framework.Middleware.LogMiddleware.?]
[2018-07-10 23:49:42,697][DEBUG][thread:4] ListSettingsInternal() method invoked in :671ms 1 requestId:a5bc2b39-954b-464d-bb9d-4dec5367b311 [Core.Framework.Middleware.LogMiddleware.?]
[2018-07-10 23:49:42,704][DEBUG][thread:1] Settings loaded. Count:95 [Core.Framework.Middleware.LogMiddleware.?]
[2018-07-10 23:49:42,769][DEBUG][thread:4] ListAllLanguage() method invoked in :63ms 1 requestId:66a0570a-c3ac-4ff9-ad5c-d12a469eea6b [Core.Framework.Middleware.LogMiddleware.?]
[2018-07-10 23:49:42,776][DEBUG][thread:1] Language cache loaded.. [Core.Framework.Middleware.LogMiddleware.?]
[2018-07-10 23:49:42,777][INFO ][thread:1] ######  DeviceManager.Service STARTED!  ####### [Core.Framework.Middleware.LogMiddleware.?]
[2018-07-10 23:49:46,660][DEBUG][thread:5] User: 0 URL=/ [DeviceManager.API.CoreMiddleware.?]
[2018-07-10 23:49:53,037][DEBUG][thread:11] User: 0 URL=/api/example/getuser/219 [DeviceManager.API.CoreMiddleware.?]
[2018-07-10 23:49:54,402][DEBUG][thread:11] User: 0 URL=/api/values [DeviceManager.API.CoreMiddleware.?]
[2018-07-10 23:49:54,930][DEBUG][thread:9] User: 0 URL=/api/values [DeviceManager.API.CoreMiddleware.?]
[2018-07-11 05:33:14,728][DEBUG][thread:1] Log4Net Configuration loaded:/Users/atilla/WS/github/IP-Man/src/.vhs/devicemanager/logging.development.config [Core.Framework.Middleware.LogMiddleware.?]
[2018-07-11 05:33:14,771][DEBUG][thread:1] Loading settings... [Core.Framework.Middleware.LogMiddleware.?]
